SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,distance_to_bart_miles,within_0_5_miles_bart,distance_to_quality_school_miles,nearest_quality_school_name,nearest_quality_school_quality_distance,nearest_quality_school_quality_level,within_2_miles_quality_school,within_0_5_mile_quality_school,within_1_mile_quality_school,price_num,grade,holc_grade,holc_color,is_HOLC_A,is_HOLC_B,is_HOLC_C,is_HOLC_D,is_HOLC_red,sale_date,sale_year,year_built,sale_year_num,age_at_sale,dist_to_grocery_miles,dist_to_retail_dining_miles,dist_to_shopping_center_miles,dist_to_hiking_miles,dist_to_waterfront_miles,dist_to_employer_industrial_miles,dist_to_employer_pixar_miles,dist_to_employer_downtown_miles,dist_to_employer_college_miles,zip_code
PAST SALE,March-30-2022,Single Family Residential,2001 Clemens Rd,Oakland,CA,94602,3000000,4,3.5,OAKMORE,2755,13513,1935,NA,1089,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/2001-Clemens-Rd-94602/home/1030929,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40985372,N,Y,37.8094425,-122.2087133,2.5320106026214524,0,0.5140672373948912,Sequoia Elementary,27.75,4,1,0,1,3000000,B,B,blue,0,1,0,0,0,2022-03-30,2022,1935,2022,87,1.9406724281820247,1.286793405612757,4.176613577328739,1.2318364203874954,3.8235283607794432,3.9424102760912874,4.395858574301777,3.021221945217308,4.987730781694223,94602
PAST SALE,October-31-2023,Single Family Residential,6080 Hillegass Ave,Oakland,CA,94618,2025000,4,2,ROCKRIDGE,1921,3150,1918,NA,1054,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/6080-Hillegass-Ave-94618/home/531166,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41041874,N,Y,37.8478738,-122.2540671,0.2635457407098942,1,0.26949037376689644,Peralta Elementary,34.25,4,1,1,1,2025000,{ },NA,NA,0,0,0,0,0,2023-10-31,2023,1918,2023,105,0.17959848040679122,0.11423746931845569,2.2877790052206914,2.2006631660514326,3.858787620843522,3.708012398057742,1.9278767705886943,2.755645234784695,1.5233542100526942,94618
PAST SALE,April-14-2021,Single Family Residential,199 Saint James Dr,Piedmont,CA,94611,3405000,4,4.5,ST JAMES WOODS,3889,16778,1941,NA,876,NA,Sold,NA,NA,https://www.redfin.com/CA/Piedmont/199-Saint-James-Dr-94611/home/1434618,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40941093,N,Y,37.81452,-122.2195473,2.712687999149872,0,0.47994897275582127,Crocker Highlands Elementary,48.25,5,1,1,1,3405000,A,A,green,1,0,0,0,0,2021-04-14,2021,1941,2021,80,1.3880557446412007,1.0536916401722898,3.7761814768730857,1.855901578208149,3.381734674944986,3.485788218702063,3.718816312654909,2.4615586126272957,4.378055369425071,94611
PAST SALE,September-28-2021,Single Family Residential,223 Accolade Dr,San Leandro,CA,94577,850000,4,3,San Leandro,1627,2639,2000,NA,522,NA,Sold,NA,NA,https://www.redfin.com/CA/San-Leandro/223-Accolade-Dr-94577/home/1538260,San Francisco MLS,421584889,N,Y,37.731359,-122.172613,0.9261674737652884,0,1.6160122885907167,Francophone Charter School Of Oakland,10.1,4,1,0,0,850000,NA,NA,NA,0,0,0,0,0,2021-09-28,2021,2000,2021,21,0.8872649502309907,6.715881768376919,3.3022227389522296,5.4492459180645225,7.162634960779716,2.026437009696226,9.262605173505216,7.318165759853563,10.656952802982524,94577
PAST SALE,November-14-2022,Single Family Residential,29 Stephens Way,Berkeley,CA,94705,2700000,4,3.5,CLAREMONT HILLS,2920,6215,1992,NA,925,NA,Sold,NA,NA,https://www.redfin.com/CA/Berkeley/29-Stephens-Way-94705/home/1650347,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41011741,N,Y,37.8598129,-122.2363263,1.324133234436157,0,0.7275860963960092,Chabot Elementary,40.9,4,1,0,1,2700000,A,A,green,1,0,0,0,0,2022-11-14,2022,1992,2022,30,1.3272590291550077,1.1585323810347967,3.5323608210404243,1.2808163637365728,4.98985257975107,4.956076098075152,3.193111829413378,3.8370396686197967,1.426014939451298,94705
PAST SALE,October-12-2021,Single Family Residential,7195 Buckingham Blvd,Berkeley,CA,94705,2300000,4,3.5,CLAREMONT HILLS,3834,6525,2007,NA,600,NA,Sold,NA,NA,https://www.redfin.com/CA/Berkeley/7195-Buckingham-Blvd-94705/home/17188098,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40967676,N,Y,37.8611938,-122.2214128,1.9883890699357099,0,1.3810252527942997,Chabot Elementary,40.9,4,1,0,0,2300000,A,A,green,1,0,0,0,0,2021-10-12,2021,2007,2021,14,2.0165692010335894,1.8914637349045587,4.292452786438285,0.6664745440056937,5.474948819777269,5.5005705176097095,3.9281800891388277,4.304613214615628,2.1503666094613476,94705
PAST SALE,December-30-2021,Single Family Residential,1808 109th,Oakland,CA,94603,825000,4,2,DURANT MANOR,1779,4040,1934,NA,464,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/1808-109th-Ave-94603/home/1649720,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40975585,N,Y,37.7381161,-122.1605347,1.1284049190763774,0,0.932360326702119,Francophone Charter School Of Oakland,10.1,4,1,0,1,825000,B,B,blue,0,1,0,0,0,2021-12-30,2021,1934,2021,87,1.6700832190961394,6.766973617424506,3.1982853893231025,5.126530897066828,7.4382537474282175,2.8296954049412575,9.376048031007695,7.469942480504681,10.562013002899217,94603
PAST SALE,April-17-2024,Single Family Residential,1957 Gaspar Dr,Oakland,CA,94611,2103000,4,3,MONTCLAIR,2309,8533,1942,NA,911,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/1957-Gaspar-Dr-94611/home/1446496,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41053833,N,Y,37.829484,-122.2093007,2.5232749137064276,0,0.22140622238238486,Montclair Elementary,30.75,4,1,1,1,2103000,A,A,green,1,0,0,0,0,2024-04-17,2024,1942,2024,82,2.3435770094388917,0.12235576126642102,4.513526731728424,1.6706579735868947,4.369196267306364,4.453112411367282,4.065747099947494,3.3131828644012615,3.8886323275795323,94611
PAST SALE,August-17-2022,Single Family Residential,4029 Allendale Ave,Oakland,CA,94619,685000,4,3,ALLENDALE,1521,8750,1913,NA,450,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/4029-Allendale-Ave-94619/home/1688966,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41003747,N,Y,37.784535,-122.2042024,1.2782122104639175,0,1.2669707428233445,Oakland Unity High,0.6999999999999993,4,1,0,0,685000,C,C,yellow,0,0,1,0,0,2022-08-17,2022,1913,2022,109,2.7980343313169103,2.8177433046358393,4.188141077183862,1.9865801405052925,3.999171728811908,4.147452645230066,5.467306324543273,3.6719947080086195,6.599279024155687,94619
PAST SALE,June-13-2025,Single Family Residential,1019-1021 83rd Ave,Oakland,CA,94621,720000,4,3,OAKLAND,1165,5350,1925,NA,618,NA,Sold,NA,NA,https://www.redfin.com/CA/Oakland/1021-83rd-Ave-94621/unit-1019/home/582104,MLSListings,ML82006837,N,Y,37.7521115,-122.1845493,0.6356885700605384,0,1.490089904798446,Francophone Charter School Of Oakland,10.1,4,1,0,0,720000,D,D,red,0,0,0,1,1,2025-06-13,2025,1925,2025,100,2.167799508794935,5.178415528441174,4.774530683684665,3.9659725458587105,5.814967989539142,2.6342557993493236,7.764439349052118,5.846328801750552,9.082774041102336,94621
